prior,update_form,detection_rate,mean_n_missions,median_n_missions,mean_cost_used,mean_final_p_true,mean_final_entropy,n_trials,round,split
EB_r01_bw2.5_u10,soft_x0_75,0.5166666666666667,7.6,9.5,387.1,0.0036583349551239487,6.358601578787506,120,1,train
EB_r01_bw2.5_u10,std,0.5166666666666667,7.6,9.5,387.1,0.0036000151484395938,6.404990493442793,120,1,train
EB_r01_bw2.5_u10,explore_x1_5,0.5166666666666667,7.6,9.5,387.1,0.003490006860808179,6.437848689755132,120,1,train
EB_r01_bw2.5_u10,lik_x1_5,0.5166666666666667,7.6,9.5,387.1,0.003490006860808179,6.437848689755132,120,1,train
EB_r01_bw2.5_u10,lik_x2,0.5166666666666667,7.6,9.5,387.1,0.003397786398497803,6.437770003142386,120,1,train
EB_r01_bw3.5_u15,soft_x0_75,0.475,5.475,7.0,385.55,0.002918096211688704,6.61722375588518,120,1,train
EB_r01_bw3.5_u15,std,0.475,5.475,7.0,385.55,0.002862056833296833,6.628024929773153,120,1,train
EB_r01_bw3.5_u15,lik_x1_5,0.475,5.475,7.0,385.55,0.0027404149407918095,6.6254085218188665,120,1,train
EB_r01_bw3.5_u15,lik_x2,0.475,5.475,7.0,385.55,0.0026326668960701158,6.6138019763059965,120,1,train
P3_quadratic_nowit_informative,explore_x1_5,0.4583333333333333,8.533333333333333,12.0,380.95,0.0018075290556690486,6.718177704632935,120,1,train
P3_quadratic_nowit_informative,lik_x1_5,0.4583333333333333,8.533333333333333,12.0,380.95,0.0018075290556690486,6.718177704632935,120,1,train
EB_r01_bw1.75_u05,std,0.45,5.966666666666667,8.0,394.125,0.004893090649144682,5.960800660398127,120,1,train
EB_r01_bw1.75_u05,soft_x0_75,0.45,5.966666666666667,8.0,394.125,0.004891670469766888,5.921597348155383,120,1,train
EB_r01_bw1.75_u05,lik_x1_5,0.45,5.966666666666667,8.0,394.125,0.004849562424253865,5.965599498794006,120,1,train
P4_quadratic_wit_informative,soft_x0_75,0.45,7.75,11.0,398.31666666666666,0.002244551065333163,6.711990741437333,120,1,train
P3_quadratic_nowit_informative,soft_x0_75,0.45,7.958333333333333,11.0,412.9583333333333,0.002065026984765405,6.7181425015966445,120,1,train
EB_r01_bw1.75_u05,explore_x1_5,0.44166666666666665,6.6,9.0,405.51666666666665,0.004798918965177721,5.962478592802115,120,1,train
